OD id,OD definition,OED id,First attested
skyway_1_noun_1,A recognized route followed by aircraft.,skyway_n1,1900
skyway_1_noun_2,A covered overhead walkway between buildings.,skyway_n3,1968
skyway_1_noun_3,A raised motorway.,skyway_n2,1924
snowmobile_1_noun_1,"A motor vehicle, especially one with runners or caterpillar tracks, for travelling over snow.",snowmobile_n,1931
snowmobile_1_verb_1,Travel by snowmobile.,?,?
software_1_noun_1,The programs and other operating information used by a computer.,software_n2a,1958
soleplate_1_noun_1,"A metal plate forming the base of an electric iron, machine saw, or other machine.",sole_n1_soleplate,1744
soleplate_1_noun_2,A horizontal timber at the base of a wall frame.,?,?
spreadsheet_1_noun_1,An electronic document in which data is arranged in the rows and columns of a grid and can be manipulated and used in calculations.,spreadsheet_n_spreadsheeting,1983
storyboard_1_noun_1,"A sequence of drawings, typically with some directions and dialogue, representing the shots planned for a film or television production.",storyboard_n,1941
tailspin_1_noun_1,A spin by an aircraft.,tailspin_n1,1916
tailspin_1_verb_1,Become increasingly chaotic and out of control.,tailspin_n2,1921
taxiway_1_noun_1,A route along which an aircraft can taxi when moving to or from a runway.,taxi_n_taxiway,1929
videotape_1_noun_1,Magnetic tape for recording and reproducing visual images and sound.,videotape_n1,1953
videotape_1_verb_1,another term for video,?,?
viewdata_1_noun_1,A news and information service in which computer data is sent by a telephone link and displayed on a monitor.,viewdata_n,1975
waveband_1_noun_1,"A range of wavelengths falling between two given limits, used in radio transmission.",wave_n_waveband,1923
windshield_1_noun_1,A window at the front of the passenger compartment of a motor vehicle; a windscreen.,windshield_n,1902
workalike_1_noun_1,A computer that is able to use the software of another machine without modification.,workalike_n,1981
